Label,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10,Component_11,Component_12,Component_13,Component_14,Component_15,Component_16,Component_17,Component_18
AD,0.235952701,0.020875259,-0.041207999,0.060473277,-0.009271335,0.024222782,0.119272668,-0.015546973,0.088929557,0.138438877,0.208500365,-0.019140255,0.007871243,-0.278178349,0.108887489,0.035247526,-0.044795717,-0.124916554
AD,0.198837741,-0.015069626,-0.066993386,0.089134888,-0.039553541,0.1370551,0.151616092,0.03347038,0.168203705,0.25599852,0.200727117,-0.093864899,0.088354584,-0.062833968,0.052167026,0.022078503,0.023326065,-0.046880504
AD,0.207902885,0.081416381,-0.106020277,0.021802988,-0.153708684,0.00175213,0.031811,0.027062671,0.0772571,0.189094108,0.169917892,-0.028614575,0.02430212,-0.156931224,0.125558566,0.010978755,0.004338006,-0.078715183
AD,0.135032379,0.142897832,-0.070612379,0.078776111,-0.100643955,0.052215983,0.091477562,0.060943488,0.070014632,0.069322513,0.163551311,0.032552386,0.016020376,-0.14006274,0.099147352,0.081035966,-0.018746873,-0.090060056
AD,0.104757217,0.190739113,-0.01810745,0.114071175,-0.029926643,0.049591469,0.09137585,0.031392636,0.106442412,0.086074177,0.069103528,0.015328792,-0.003630601,-0.140921092,0.105808012,0.038377943,0.027535635,-0.014492886
AD,0.222104342,0.061834196,-0.063818704,0.031547218,-0.122095351,0.059955744,0.134574401,0.130944311,0.086573103,0.128173223,0.133631164,0.027121665,0.030249061,-0.041247813,0.066216294,0.028558832,0.034780269,-0.061650438
AD,0.150890653,0.127778764,-0.058416689,0.117230538,-0.064648475,-0.018802306,0.095294544,-0.026205685,0.069611304,0.046026946,0.091786791,-0.00624418,-0.015618382,-0.149996668,0.110454719,0.010059808,0.058620784,0.053823427
AD,0.181863026,0.049419824,-0.075387309,0.035514293,-0.122515963,0.029773829,0.116388823,0.040998728,0.03259035,0.1116954,0.132131152,-0.001239399,-0.014768024,-0.223810273,0.134007421,0.04595316,-0.013637689,-0.081907281
AD,0.17418811,0.171628381,-0.059236588,-0.005557797,-0.137366041,0.035025693,0.072896881,0.104129995,0.117361944,0.165066471,0.148620139,-0.034418396,0.030427421,-0.074926464,0.066408359,0.037870674,0.013093874,-0.060249396
MCI,0.09877308,0.21129194,0.049501143,0.080758583,-0.139074043,0.028523661,0.079828424,0.094657405,0.013023693,0.019215793,0.069780339,0.022810173,-0.001726498,-0.134172599,0.066769004,0.025114401,0.003307224,0.153476722
MCI,0.196844923,0.130350816,-0.015621506,0.027549051,-0.194697924,0.048128885,0.052002323,0.048198138,0.037109231,0.096423316,0.13671861,0.079733144,0.002641157,-0.072433626,0.025518014,0.018145483,-0.016839578,0.07627387
MCI,0.104847903,0.218937101,0.038144095,0.049527375,-0.124870067,0.054765806,0.096283492,0.065665183,0.011297393,0.050545472,0.076337329,0.038780382,-0.013684934,-0.144052842,0.056240879,0.004142072,-0.005568489,0.112191179
MCI,0.075346956,0.218672117,0.062786833,0.040482981,-0.107527468,0.066254543,0.110214964,0.062594385,0.01086881,0.01349707,0.038489867,0.025974533,0.017860505,-0.133847338,0.033742239,0.042148573,0.027625113,0.169338671
MCI,0.065576855,0.214111528,0.070962232,0.082126866,-0.152790373,0.070859865,0.038404908,0.079691574,0.032986354,0.071655104,0.050429002,0.070568493,0.031805061,-0.101099007,0.069497963,0.03432973,0.009284683,0.146148548
MCI,0.103514102,0.190586669,0.051907959,0.046211036,-0.164455793,0.033980043,0.09475718,0.075442333,-0.00029398,0.070235416,0.094912171,-0.012523449,0.014859776,-0.120416055,0.059240654,0.041423287,-0.038241528,0.064123215
MCI,0.048821268,0.244676615,0.093111451,0.040004882,-0.085918718,0.093584874,0.099036405,0.076849597,0.011972105,0.038856563,0.052257324,0.064266785,-0.013028367,-0.10911427,0.039105927,0.050376948,0.041475749,0.178521526
MCI,0.119643105,0.214501777,0.024848793,0.018672888,-0.117322829,0.004709647,0.085314845,-0.027457698,0.028792041,0.018465758,0.063953449,0.009064978,0.006057042,-0.146306198,0.034085052,0.035640737,0.015010493,0.171392911
MCI,0.113942065,0.198977639,0.028186999,0.055132379,-0.104779329,0.054991441,0.089979234,0.084149507,0.011166812,0.017444002,0.044285885,-0.014574888,-0.042247948,-0.160636826,0.07087486,0.023023874,-0.006881039,0.146684263
MCI,0.100628174,0.220461437,0.071949873,0.053611839,-0.09219527,0.043458675,0.093675944,0.031024911,0.018891695,0.029983372,0.052344448,0.019977388,-0.035151133,-0.138637931,0.054270475,0.018064974,0.01790692,0.157738915
MCI,0.080598547,0.216119592,0.055902688,0.061455116,-0.132764372,0.077908375,0.079264509,0.086303445,0.015114313,0.03672294,0.060077838,0.048221669,0.015430301,-0.129290048,0.042465038,0.022668405,0.016317293,0.121982452
MCI,0.112181851,0.157821386,0.069211779,0.133736722,-0.154120302,0.030971757,0.023907512,0.021149932,0.027766792,0.092419392,0.104010076,-0.007988265,-0.000904863,-0.131615732,0.044890189,0.003095354,0.003511198,0.115648346
MCI,0.098735011,0.189778478,0.025076513,0.051232502,-0.118633892,0.055534505,0.078227916,0.018884319,0.041781505,-0.002035189,0.059154798,0.041859669,-0.009459495,-0.173880933,0.046593992,0.037411796,0.005949734,0.160233738
MCI,0.160102072,0.17376693,0.013584032,0.049590602,-0.115395095,0.07405648,0.095367619,0.134229098,0.026331902,0.06232456,0.109928997,0.063729481,-0.045814342,-0.065662491,0.021946368,-0.009377894,0.015350582,0.099175879
MCI,0.095402532,0.211273138,0.107657582,0.052490618,-0.162846598,0.083876304,0.04496865,0.0728783,0.048408659,0.074263143,0.054329459,0.067906571,0.006313272,-0.09992281,0.056189842,0.0143712,0.011041913,0.122004895
MCI,0.076501489,0.232462797,0.112732713,0.056791525,-0.142952376,0.080839849,0.091733221,0.074123806,0.027870476,0.030470517,0.042615467,0.054884112,0.023139218,-0.105311157,0.052820395,0.046595103,0.020294307,0.167888726
MCI,0.113756831,0.228543229,0.068998567,0.053446912,-0.127629104,0.008614663,0.075874971,0.044222352,0.012752444,0.010603981,0.058488214,0.010208918,0.009494388,-0.112336256,0.062679656,0.019463337,0.013764311,0.157782352
MCI,0.122975406,0.190383785,0.045203743,0.049924533,-0.088095351,0.057612355,0.096939404,0.028915942,0.023487202,0.019215887,0.059580233,0.024805031,-0.022235967,-0.135112024,0.052286354,0.038312407,0.004093693,0.163598903
MCI,6.47E-02,2.32E-01,4.86E-02,6.20E-02,-1.05E-01,6.96E-02,7.31E-02,9.58E-02,4.34E-03,4.00E-02,6.70E-02,4.18E-02,-2.90E-03,-1.30E-01,5.70E-02,3.93E-02,2.08E-02,1.47E-01
MCI,0.052953114,0.202648702,0.049788213,0.058365219,-0.128040208,0.089296734,0.101911781,0.069953909,0.032344781,0.056255823,0.067770315,0.077223964,0.021180018,-0.145459739,0.028988026,0.028345171,0.023534459,0.140320887
